id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria,data_scrapped
201,Apartamento,Venda,São José de Ribamar/MA,Jardim Aracagy,2,1,1,180000,Pereira Feitosa,23/06/2019
202,Casa,Venda,São Luís/MA,Anil,2,1,1,150000,Pereira Feitosa,23/06/2019
203,Casa,Venda,São Luís/MA,COHAB Anil IV,3,2,2,300000,Pereira Feitosa,23/06/2019
204,Casa,Venda,São José de Ribamar/MA,Altos do Turu II,2,0,2,160000,Pereira Feitosa,23/06/2019
205,Casa,Venda,São Luís/MA,Planalto Anil Iv,3,0,1,200000,Pereira Feitosa,23/06/2019
206,Casa,Venda,São José de Ribamar/MA,Altos do Turu II,3,1,4,260000,Pereira Feitosa,23/06/2019
207,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
208,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,0,185000,Pereira Feitosa,23/06/2019
209,Casa,Venda,São Luís/MA,Centro,3,0,0,100000,Pereira Feitosa,23/06/2019
210,Casa,Venda,São Luís/MA,COHAB Anil IV,4,2,2,350000,Pereira Feitosa,23/06/2019
211,Casa,Venda,São Luís/MA,Centro,1,0,0,90000,Pereira Feitosa,23/06/2019
212,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,1,185000,Pereira Feitosa,23/06/2019
213,Casa,Venda,São Luís/MA,Monte Castelo,0,0,0,400000,Pereira Feitosa,23/06/2019
214,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,0,185000,Pereira Feitosa,23/06/2019
215,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
216,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
217,Casa,Venda,São Luís/MA,Residencial Esperança,1,1,2,295000,Pereira Feitosa,23/06/2019
218,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
219,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
220,Apartamento,Venda,São Luís/MA,Jardim São Francisco,1,1,1,250000,Pereira Feitosa,23/06/2019
221,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,1,185000,Pereira Feitosa,23/06/2019
222,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
223,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
224,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
225,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
226,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
227,Casa,Venda,São Luís/MA,Jardim São Francisco,3,3,0,890000,Pereira Feitosa,23/06/2019
228,Apartamento,Venda,São Luís/MA,Cohama,3,1,2,405000,Pereira Feitosa,23/06/2019
229,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,1,185000,Pereira Feitosa,23/06/2019
230,Casa,Venda,São Luís/MA,Jardim Eldorado,2,1,2,450000,Pereira Feitosa,23/06/2019
231,Casa,Venda,São Luís/MA,Forquilha,3,1,1,220000,Pereira Feitosa,23/06/2019
232,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,0,185000,Pereira Feitosa,23/06/2019
233,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,1,185000,Pereira Feitosa,23/06/2019
234,Apartamento,Venda,São Luís/MA,Cohatrac,1,1,1,185000,Pereira Feitosa,23/06/2019
235,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
236,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
237,Casa,Venda,São Luís/MA,Maranhão Novo,4,3,2,450000,Pereira Feitosa,23/06/2019
238,Apartamento,Venda,São Luís/MA,Ponta D Areia,3,0,3,1500000,Pereira Feitosa,23/06/2019
239,Apartamento,Venda,São Luís/MA,Maiobinha,2,0,1,120000,Pereira Feitosa,23/06/2019
240,Apartamento,Venda,São Luís/MA,Ipase,2,0,2,270000,Pereira Feitosa,23/06/2019
241,Apartamento,Venda,São Luís/MA,Ponta D Areia,3,0,2,870000,Pereira Feitosa,23/06/2019
242,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,4,650000,Pereira Feitosa,23/06/2019
243,Apartamento,Venda,São Luís/MA,Ponta D Areia,3,3,2,870000,Pereira Feitosa,23/06/2019
